# Time-averaged data for fix CPR
# TimeStep c_VIR[1] c_VIR[2] c_VIR[3] c_VIR[4] c_VIR[5] c_VIR[6]
0 -64.2526 -130.165 -225.508 4.94518 22.0495 -86.2163
1 -64.0223 -129.528 -224.987 4.21777 22.2063 -86.5896
2 -63.8297 -128.943 -224.491 3.51238 22.3614 -86.9498
3 -63.6621 -128.325 -223.985 2.81885 22.5343 -87.3044
4 -63.5233 -127.729 -223.524 2.10679 22.6979 -87.6674
5 -63.4135 -127.133 -223.091 1.39915 22.8614 -88.0325
6 -63.3522 -126.59 -222.687 0.699311 23.0185 -88.3831
7 -63.2949 -126.069 -222.337 0.000299095 23.1865 -88.7211
8 -63.2599 -125.538 -221.973 -0.674953 23.3767 -89.0669
9 -63.25 -125.023 -221.608 -1.35928 23.5446 -89.4121
10 -63.2931 -124.49 -221.301 -2.05088 23.7234 -89.7433
11 -63.359 -124.02 -221.083 -2.73311 23.9002 -90.0807
12 -63.4995 -123.557 -220.868 -3.39289 24.0791 -90.4007
13 -63.6251 -123.095 -220.639 -4.05211 24.2629 -90.7137
14 -63.7631 -122.658 -220.456 -4.70192 24.4386 -91.0131
15 -63.9567 -122.213 -220.299 -5.35044 24.6313 -91.3147
16 -64.1942 -121.83 -220.185 -6.00289 24.8146 -91.6037
17 -64.4585 -121.458 -220.076 -6.63816 24.9965 -91.87
18 -64.7246 -121.089 -220.006 -7.27948 25.1792 -92.1372
19 -65.0197 -120.736 -219.945 -7.90243 25.3673 -92.3931
20 -65.3409 -120.383 -219.943 -8.52845 25.5496 -92.6427
21 -65.6682 -120.042 -219.944 -9.14174 25.7434 -92.8714
22 -66.0744 -119.751 -219.972 -9.7516 25.9241 -93.1019
23 -66.4841 -119.49 -220.049 -10.3658 26.0847 -93.3166
24 -66.9243 -119.205 -220.151 -10.9672 26.2698 -93.5185
25 -67.3505 -118.921 -220.274 -11.5584 26.465 -93.7085
26 -67.8549 -118.675 -220.422 -12.127 26.6556 -93.8851
27 -68.3834 -118.442 -220.602 -12.7089 26.8434 -94.0513
28 -68.9236 -118.224 -220.812 -13.2873 27.0177 -94.1973
29 -69.4691 -118.033 -221.034 -13.8417 27.2059 -94.3297
30 -70.0474 -117.852 -221.3 -14.4098 27.3921 -94.4503
31 -70.6916 -117.69 -221.584 -14.974 27.5654 -94.5639
32 -71.357 -117.539 -221.897 -15.5274 27.7289 -94.6613
33 -72.0608 -117.402 -222.195 -16.0783 27.8866 -94.7303
34 -72.7441 -117.274 -222.533 -16.6144 28.0542 -94.7675
35 -73.4502 -117.173 -222.906 -17.1599 28.2153 -94.8058
36 -74.2076 -117.09 -223.325 -17.6922 28.3658 -94.8482
37 -74.9081 -116.968 -223.685 -18.2089 28.5077 -94.8691
38 -75.6699 -116.876 -224.105 -18.7092 28.6404 -94.8656
39 -76.4467 -116.802 -224.55 -19.2278 28.7823 -94.8493
40 -77.2554 -116.731 -225.024 -19.7478 28.9191 -94.816
41 -78.1041 -116.663 -225.477 -20.2304 29.0533 -94.765
42 -78.9741 -116.629 -225.987 -20.7273 29.1885 -94.6982
43 -79.8192 -116.573 -226.478 -21.2045 29.3151 -94.5968
44 -80.7232 -116.555 -226.998 -21.6795 29.4334 -94.4791
45 -81.5949 -116.511 -227.526 -22.1443 29.5467 -94.3445
46 -82.5076 -116.506 -228.055 -22.6025 29.6513 -94.1988
47 -83.433 -116.517 -228.602 -23.0577 29.7432 -94.0398
48 -84.3428 -116.523 -229.132 -23.5051 29.8435 -93.8558
49 -85.2467 -116.574 -229.675 -23.9384 29.9477 -93.6511
50 -86.1494 -116.616 -230.227 -24.3746 30.0425 -93.4338
51 -87.0883 -116.691 -230.756 -24.7953 30.1158 -93.2045
52 -88.0263 -116.738 -231.316 -25.2156 30.2086 -92.9295
53 -88.9705 -116.833 -231.895 -25.6156 30.2775 -92.6503
54 -89.9264 -116.926 -232.462 -26.0145 30.3483 -92.3439
55 -90.8566 -116.981 -233.045 -26.4169 30.3852 -92.0218
56 -91.799 -117.072 -233.594 -26.8021 30.4191 -91.689
57 -92.7632 -117.157 -234.116 -27.1819 30.4432 -91.3335
58 -93.7173 -117.268 -234.639 -27.547 30.4618 -90.9585
59 -94.6522 -117.371 -235.186 -27.9079 30.4795 -90.5559
60 -95.5927 -117.469 -235.692 -28.2758 30.4817 -90.1326
61 -96.5042 -117.56 -236.213 -28.6229 30.4738 -89.6934
62 -97.4451 -117.677 -236.728 -28.9675 30.4571 -89.2554
63 -98.3712 -117.821 -237.206 -29.295 30.4083 -88.7809
64 -99.29 -117.927 -237.659 -29.6178 30.3719 -88.2812
65 -100.225 -118.041 -238.12 -29.9132 30.335 -87.7673
66 -101.124 -118.185 -238.556 -30.2142 30.2823 -87.2236
67 -101.993 -118.32 -238.933 -30.5076 30.2251 -86.6673
68 -102.858 -118.402 -239.361 -30.7802 30.1468 -86.0712
69 -103.722 -118.514 -239.754 -31.0689 30.0728 -85.4796
70 -104.572 -118.648 -240.137 -31.3243 29.9867 -84.8738
71 -105.401 -118.787 -240.485 -31.5771 29.8931 -84.2425
72 -106.184 -118.885 -240.802 -31.8192 29.7944 -83.5869
73 -107.001 -119.033 -241.094 -32.0628 29.6814 -82.9245
74 -107.781 -119.19 -241.396 -32.2965 29.5691 -82.232
75 -108.547 -119.308 -241.641 -32.5208 29.4399 -81.5145
76 -109.289 -119.442 -241.873 -32.7159 29.3041 -80.7978
77 -110.018 -119.583 -242.1 -32.9107 29.1547 -80.0498
78 -110.725 -119.704 -242.295 -33.0965 29.0039 -79.2952
79 -111.406 -119.844 -242.484 -33.2664 28.8514 -78.5152
80 -112.079 -119.995 -242.667 -33.4277 28.6941 -77.686
81 -112.726 -120.128 -242.783 -33.5836 28.5313 -76.8641
82 -113.36 -120.275 -242.894 -33.7217 28.3469 -76.0213
83 -113.974 -120.374 -242.941 -33.8356 28.1925 -75.1517
84 -114.558 -120.542 -242.973 -33.9542 28.0059 -74.2791
85 -115.138 -120.702 -242.998 -34.0787 27.8035 -73.3899
86 -115.719 -120.837 -242.977 -34.1719 27.6096 -72.496
87 -116.251 -121.002 -242.913 -34.2619 27.4277 -71.5645
88 -116.738 -121.146 -242.812 -34.3485 27.2271 -70.6195
89 -117.252 -121.268 -242.686 -34.4083 27.0146 -69.6509
90 -117.689 -121.431 -242.545 -34.4476 26.8142 -68.6774
91 -118.127 -121.588 -242.348 -34.4897 26.601 -67.6814
92 -118.521 -121.742 -242.217 -34.508 26.392 -66.6857
93 -118.904 -121.916 -242.037 -34.5217 26.1551 -65.6861
94 -119.274 -122.051 -241.827 -34.5214 25.9443 -64.6566
95 -119.618 -122.163 -241.615 -34.4938 25.729 -63.6258
96 -119.913 -122.294 -241.33 -34.462 25.4957 -62.5786
97 -120.209 -122.441 -240.98 -34.4177 25.2558 -61.5359
98 -120.461 -122.604 -240.638 -34.3635 25.0197 -60.4612
99 -120.696 -122.735 -240.234 -34.2958 24.7791 -59.3688
100 -120.894 -122.889 -239.828 -34.2192 24.541 -58.2591
101 -121.109 -123.079 -239.435 -34.1523 24.2972 -57.1385
102 -121.281 -123.245 -238.97 -34.0442 24.0731 -56.0044
103 -121.436 -123.408 -238.479 -33.9087 23.8369 -54.8801
104 -121.56 -123.545 -237.982 -33.7778 23.6049 -53.7433
105 -121.654 -123.705 -237.468 -33.6184 23.3906 -52.5911
106 -121.691 -123.842 -236.901 -33.4678 23.1774 -51.4303
107 -121.767 -124.006 -236.351 -33.2847 22.9517 -50.2821
108 -121.842 -124.184 -235.779 -33.0825 22.7507 -49.1158
